D B Malls Private Limited, Real Estate Development Term Loan Facilities #,D C Metals Trading Companies & Distributors Cash Credit Limit CRISIL D,,,,,,,,,,,
D.R. Distributors Private Limited, Distributors Cash Credit Limit CRISIL BBB- Stable,D.R. Thangamaaligai Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility CRISIL B Stable,Cash Credit Limit CRISIL B Stable,,,,,,,,,,
D.R.B. Commodities India Private Limited, Distributors Cash Credit Limit CRISIL BB+ Stable,Packing Credits CRISIL A4+,D.S. Enterprises Media Cash Credit Limit #,,,,,,,,,,
D.S.P.I. Milk Foods Ltd., Food Products Cash Credit Limit CRISIL B+ Stable,,,,,,,,,,,,
D.S.R. Infrastructure Private Limited, Real Estate Development Over Draft CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,
D.V. Steel Industries Private Limited, Metals & Mining Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
D2S Infrastructures Private Limited, Construction & Engineering Cash Credit Limit CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,,,,,,,,,,,
DARCL Logistics Limited, Road & Rail Proposed Working Capital Facility CRISIL BBB+ Positive,Working Capital Demand Loan CRISIL BBB+ Positive,Stand by Line of Credit CRISIL BBB+ Positive,Cash Credit Limit CRISIL BBB+ Positive,Fixed Deposit FA- Positive,Bank Guarantee limit CRISIL A2,DARP Construction (J.V.) Real Estate Development Term Loan Facilities #,,,,,,
DB Power Electronics Private Limited, Electrical Equipment Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
DBM Geotechnics And Constructions Private Limited, Professional Services Proposed Long-Term Bank Facility CRISIL D,Cash Credit Limit CRISIL D,Funded Interest Term Loan CRISIL D,Working Capital Term Loan CRISIL D,Bank Guarantee limit CRISIL D,,,,,,,,
DBS Automobiles Private Limited, Specialty Retail Cash Credit Limit CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,,,,,,,,,,,
DBS Bank Limited, Banks Certificate of Deposit CRISIL A1+,DC Exports Engineering & Capital Goods Cash Credit Limit CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,
DCB Bank Limited, Banks Certificate of Deposit CRISIL A1+,Short Term Deposit CRISIL A1+,,,,,,,,,,,
DCM Engineering Limited, Industrial Conglomerates Term Loan Facilities CRISIL BBB- Negative,Bill Discounting CRISIL BBB- Negative,Proposed Long-Term Bank Facility CRISIL BBB- Negative,Cash Credit Limit CRISIL BBB- Negative,Letter of Credit Limit CRISIL A3,,,,,,,,
DCM Limited, Textiles- Apparel & Luxury Goods Term Loan Facilities CRISIL BBB- Negative,Cash Credit Limit CRISIL BBB- Negative,Packing Credits CRISIL A3,Foreign Bill Discounting CRISIL A3,Letter of Credit Limit CRISIL A3,Bank Guarantee limit CRISIL A3,,,,,,,
