C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
Chamundi Distilleries Private Limited, Beverages Cash Credit Limit #,,,,,,,,,,,,,,
Chamundi Extrusions Private Limited, Containers & Packaging Long Term Bank Loan CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Letter of Credit Limit CRISIL A4+,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
Chanakya Technos Private Limited, Construction & Engineering Stand by Line of Credit #,Cash Credit Limit #,Term Loan Facilities #,Bank Guarantee limit #,,,,,,,,,,,
Chand Fruit Company Private Limited, Trading Companies & Distributors Proposed Export Packing Credit CRISIL A4+,Export Packing Credit limits CRISIL A4+,Chandak Brothers Household Durables Short-Term Bank Facility #,Export Packing Credit limits #,Bill Purchase-Discounting Facility #,Chandan Realities Real Estate Development Drop Line Overdraft Facility CRISIL B Stable,,,,,,,,,
Chandan Trading Company Private Limited, Distributors Cash Credit Limit #,Proposed Long-Term Bank Facility #,,,,,,,,,,,,,
Chandana Brothers Multicomplex Private Limited, Real Estate Development Proposed Long-Term Bank Facility CRISIL BB- Stable,,,,,,,,,,,,,,
Chandana Brothers Shopping Mall Private Limited, Specialty Retail Corporate Loan CRISIL BBB Positive,Cash Credit Limit CRISIL BBB Positive,,,,,,,,,,,,,
Chandana Brothers Textiles And Jewellers Private Limited, Specialty Retail Cash Credit Limit CRISIL BBB Positive,,,,,,,,,,,,,,
Chandana Ramesh Jewellers And Textiles Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BB Stable,,,,,,,,,,,,,,
Chandi Charan Cold Storage Private Limited, Commercial Services & Supplies Term Loan Facilities CRISIL B- Stable,Cash Credit Limit CRISIL B- Stable,Proposed Long-Term Bank Facility CRISIL B- Stable,Working Capital Demand Loan CRISIL B- Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,
Chandi Mata Cold Storage Private Limited, Commercial Services & Supplies Cash Credit Limit CRISIL B- Stable,Term Loan Facilities CRISIL B- Stable,Proposed Long-Term Bank Facility CRISIL B- Stable,Bank Guarantee limit CRISIL A4,Chandi Steel Corporation Machinery Term Loan Facilities #,Cash Credit Limit #,,,,,,,,,
Chandigarh Healthcare Private Limited, Health Care Providers & Services Cash Credit Limit CRISIL B Stable,Term Loan Facilities CRISIL B Stable,,,,,,,,,,,,,
Chandigarh Iron and Steel Company Limited, Metals & Mining Term Loan Facilities #,Proposed Long-Term Bank Facility #,Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
Chandigarh Roller Flour Mills Private Limited, Food Products Term Loan Facilities CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,,,,,,,,,,,,,
Chandra Automobile India Private Limited, Specialty Retail Cash Credit Limit CRISIL B+ Stable,Long Term Bank Loan CRISIL B+ Stable,,,,,,,,,,,,,
Chandra Bhagat Pharma Private Limited, Pharmaceuticals Cash Credit Limit CRISIL BB- Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,,,
Chandra Cashew Imports And Exports Private Limited, Trading Companies & Distributors Bill Discounting Facility CRISIL A4+,Packing Credits CRISIL A4+,Chandra Container Manufacturers Containers & Packaging Cash Credit Limit #,Term Loan Facilities #,Over Draft #,Letter of Credit and Bank Guarantee #,,,,,,,,,
Chandra Modern Builders (india) Private Limited, Real Estate Development Term Loan Facilities CRISIL B Stable,,,,,,,,,,,,,,
Chandra Prabhu International Limited, Distributors Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Letter of Credit and Bank Guarantee CRISIL A4,,,,,,,,,,,,
Chandra Proteco Limited, Electrical Equipment Cash Credit Limit #,Cash Credit-Book Debt #,Term Loan Facilities #,Packing Credits #,Bank Guarantee limit #,Letter of Credit Limit #,Foreign Bills Payable #,,,,,,,,
Chandra Ship Management Private Limited, Air Freight & Logistics Cash Credit Limit CRISIL BB+ Stable,Working Capital Demand Loan CRISIL BB+ Stable,Long Term Bank Loan CRISIL BB+ Stable,Chandra Shipping AND Trading Services Road & Rail Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,
Chandrakona Cold Storage Private Limited, Commercial Services & Supplies Proposed Long-Term Bank Facility #,Working Capital Facility #,Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
Chandralok Residency Private Limited, Hotels Restaurants & Leisure Term Loan Facilities CRISIL B Stable,,,,,,,,,,,,,,
Chandralok Textile Industries Private Limited, Textiles- Apparel & Luxury Goods Rupee Term Loans #,Cash Credit Limit #,Chandramma Educational Society Diversified Consumer Services Over Draft #,,,,,,,,,,,,
Chandramukhi Impex Private Limited, Textiles- Apparel & Luxury Goods Packing Credits CRISIL A4+,Bill Discounting Facility CRISIL A4+,,,,,,,,,,,,,
Chandras Chemical Enterprises Private Limited,. Chemicals Cash Credit Limit CRISIL BBB Stable,Letter of Credit Limit CRISIL A3+,Letter Of Guarantee CRISIL A3+,Chandrashekaraiah Construction & Engineering Cash Credit Limit CRISIL B Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,
Chandrashekhar Exports Private Limited, Food Products Packing Credits CRISIL A3,Chandravadhanam Educational Trust Diversified Consumer Services Proposed Long-Term Bank Facility CRISIL BBB- Stable,Cash Credit Limit CRISIL BBB- Stable,Long Term Bank Loan CRISIL BBB- Stable,Chandrawati Education Society Diversified Consumer Services Proposed Long-Term Bank Facility #,Over Draft #,,,,,,,,,
Chandri Papers and Allied Products Private Limited, Chemicals Proposed Long-Term Bank Facility #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,
Chandrika Dairy Industries Private Limited, Food Products Proposed Cash Credit Limit #,Cash Credit Limit #,Rupee Term Loans #,Proposed Long-Term Bank Facility #,Bank Guarantee limit #,,,,,,,,,,
Chandrmauli Motors Private Limited, Specialty Retail Inventory Funding CRISIL B Stable,Cash Credit Limit CRISIL B Stable,Term Loan Facilities CRISIL B Stable,Chandu Agencies Distributors Cash Credit Limit #,,,,,,,,,,,
Chandulal Chandrakar Memorial Hospital Private Limited, Health Care Providers & Services Term Loan Facilities CRISIL B Stable,,,,,,,,,,,,,,
Charak Pharma Private Limited, Pharmaceuticals Cash Credit Limit CRISIL A- Stable,Bank Guarantee limit CRISIL A2+,,,,,,,,,,,,,
Charanpaaduka Industries Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,,
Charbhuja Ispat India Private Limited, Metals & Mining Cash Credit Limit CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,,,,,,,,,,,,,
Charchco Electronics India Private Limited, Distributors Cash Credit Limit #,,,,,,,,,,,,,,
Chariot International Private Limited, Building Products Packing Credit CRISIL B+ Stable,Letter of Credit Limit CRISIL A4,Charisma Builders Real Estate Development Cash Credit Limit CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Over Draft CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,,,,,,,,,
Charisma Goldwheels Private Limited, Specialty Retail Cash Credit Limit CRISIL BB- Stable,Inventory Funding CRISIL BB- Stable,Charly Fisheries Food Products Long Term Bank Loan CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Foreign Bill Purchase Limit CRISIL A4,Export Packing Credit limits CRISIL A4,,,,,,,,,
Charming Printing and Graphics Private Limited, Distributors Cash Credit Limit CRISIL B Stable,Letter of Credit Limit CRISIL A4,,,,,,,,,,,,,
Charms Chem Private Limited, Chemicals Cash Credit Limit CRISIL BB- Stable,Term Loan Facilities CRISIL BB- Stable,Inland/Import Letter of Credit CRISIL A4+,Chas Metal Centre Distributors Cash Credit Limit #,,,,,,,,,,,
Chathur Realtors Private Limited, Tobacco Proposed Long-Term Bank Facility CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,,,,,,,,,,,,,
Chatterjee Cleaning Arts Services Private Limited, Commercial Services & Supplies Cash Credit Limit CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Chaudhary Builders Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,,,,,,,,,,,
Chaudhary Construction Company Private Limited, Construction & Engineering Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,,,
Chaudhary Ingots Private Limited, Metals & Mining Cash Credit Limit #,,,,,,,,,,,,,,
Chaudhary Nursing Home Private Limited, Health Care Providers & Services Term Loan Facilities #,Overdraft Facility #,,,,,,,,,,,,,
Chaudhary Timber Industries Private Limited, Paper & Forest Products Cash Credit Limit CRISIL BB+ Stable,Letter of Credit Limit CRISIL A4+,Chauhan Poultry Farm Food Products Cash Credit Limit CRISIL B Stable,Term Loan Facilities CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Chavan Automobiles Specialty Retail Cash Credit Limit CRISIL BB- Stable,Chawla International Distributors Bill Discounting #,Cash Credit Limit #,Proposed Short Term Bank Facility #,Packing Credits #,,,,,
Chawla Techno Construct Limited, Construction & Engineering Term Loan Facilities CRISIL BB+ Stable,Proposed Long-Term Bank Facility CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,Chawra Trading Food & Staples Retailing Cash Credit Limit CRISIL BB- Stable,Electronic Dealer Financing Scheme CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,,,,,,,,,
Checkmate Services Private Limited, Commercial Services & Supplies Cash Credit Limit CRISIL BBB Stable,Term Loan Facilities CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,,,,,,,,,,,,
Cheema Boilers Limited, Machinery Cash Credit Limit CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,,,,,,,,,,,
Cheema Papers Limited, Paper & Forest Products Cash Credit Limit CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,,,
Cheema Spintex Limited, Textiles- Apparel & Luxury Goods Term Loan Facilities #,Cash Credit Limit #,Export Bill Discounting #,Letter of Credit Limit #,Cheer Sagar Exports Engineering & Capital Goods Foreign Bill Purchase CRISIL BB Stable,Packing Credits CRISIL A4+,Standby Line Of Credit CRISIL A4+,Cheerans Structurals Construction & Engineering Cash Credit Limit CRISIL BB Stable,Chem Corporation Distributors Cash Credit Limit CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Letter of Credit Limit CRISIL A4,Chem Mart Trading Companies & Distributors Cash Credit Limit CRISIL BBB- Stable,Bank Guarantee limit CRISIL A3,,
Chem Process Systems Private Limited, Machinery Term Loan Facilities #,Foreign Bill Discounting Limit #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,
Chem Star International Private Limited, Distributors Cash Credit Limit CRISIL B+ Stable,,,,,,,,,,,,,,
Chem-Edge International Private Limited, Chemicals Cash Credit Limit CRISIL BBB- Stable,Inland/Import Letter of Credit CRISIL A3,Foreign Exchange Forwards CRISIL A3,Proposed Working Capital Facility(ST) CRISIL A3,,,,,,,,,,,
Chembond Chemicals Limited, Chemicals Cash Credit Limit CRISIL A- Stable,Proposed Long-Term Bank Facility CRISIL A- Stable,Term Loan Facilities CRISIL A- Stable,Bank Guarantee limit CRISIL A1,,,,,,,,,,,
Chembond Solenis Water Technologies Limited, Chemicals Cash Credit Limit CRISIL BBB+ Stable,Bank Guarantee limit CRISIL A2,,,,,,,,,,,,,
Chemco Plastic Industries Private Limited, Containers & Packaging Rupee Term Loans CRISIL BBB Positive,Cash Credit Limit CRISIL BBB Positive,Letter of Credit Limit CRISIL A3+,Bank Guarantee limit CRISIL A3+,,,,,,,,,,,
Chemetall India Private Limited, Chemicals Proposed Long-Term Bank Facility CRISIL A Stable,Cash Credit Limit CRISIL A Stable,Letter of Credit Limit CRISIL A1,Bank Guarantee limit CRISIL A1,,,,,,,,,,,
Chemfab Alkalis Limited, Chemicals Long Term Bank Loan CRISIL BBB+ Stable,Cash Credit Limit CRISIL BBB+ Stable,Proposed Long-Term Bank Facility CRISIL BBB+ Stable,Bank Guarantee limit CRISIL A2+,Letter of Credit Limit CRISIL A2+,Chemfilt Machinery Cash Credit Limit #,Proposed Long-Term Bank Facility #,Rupee Term Loans #,Chemi Enterprise Distributors Proposed Long-Term Bank Facility CRISIL BB- Stable,Inland/Import Letter of Credit CRISIL A4+,,,,,
Chemi Pack India Private Limited, Containers & Packaging Cash Credit Limit CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,,,
Chemical Process Piping Private Limited, Machinery Term Loan Facilities #,Cash Credit Limit #,Letter of Credit Limit #,Bank Guarantee limit #,Chemical de Enterprises Distributors Proposed Long-Term Bank Facility #,Cash Credit Limit #,Letter of Credit and Bank Guarantee #,,,,,,,,
Chemico Chemicals Private Limited, Chemicals Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,,
Chemico Synthetics Limited, Metals & Mining Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,,
Chemitech Engineers Private Limited, Distributors Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,Inland/Import Letter of Credit CRISIL A4+,,,,,,,,,,,,
Chemizol Additives Private Limited, Chemicals Cash Credit Limit #,Packing Credits #,,,,,,,,,,,,,
Chemline India Limited, Chemicals Cash Credit Limit CRISIL BB+ Stable,Packing Credits CRISIL A4+,Letter of Credit Limit CRISIL A4+,Chemmarathil Cashew Company Trading Companies & Distributors Cash Credit Limit CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,Long Term Bank Loan CRISIL BB- Stable,Packing Credits CRISIL A4+,Bill Discounting Facility CRISIL A4+,,,,,,,
Chemsol Labs Private Limited, Distributors Cash Credit Limit #,Proposed Cash Credit Limit #,Letter of Credit Limit #,Proposed Letter of Credit #,,,,,,,,,,,
Chemspec Chemicals Private Limited, Chemicals Cash Credit Limit CRISIL BBB Stable,Long Term Bank Loan CRISIL BBB Stable,Letter of Credit Limit CRISIL A3+,Chemtech Agencies Machinery Cash Credit Limit #,Proposed Cash Credit Limit #,Bill Discounting under Letter of Credit #,Bank Guarantee limit #,,,,,,,,
Chemtrols Samil India Private Limited, Machinery Cash Credit Limit CRISIL B- Stable,,,,,,,,,,,,,,
Chenab Impex Private Limited, Distributors Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,Letter of Credit Limit CRISIL A4,,,,,,,,,,,
Chengmari Tea Co Limited, Food Products Cash Credit Limit #,Letter of Credit and Bank Guarantee #,,,,,,,,,,,,,
Chennai Auto Agency Private Limited, Specialty Retail Inventory Funding CRISIL BBB- Stable,Proposed Inventory Funding CRISIL BBB- Stable,,,,,,,,,,,,,
Chennai CNC Servotronics Private Limited, Machinery Cash Credit Limit #,Proposed Long-Term Bank Facility #,Long Term Bank Loan #,,,,,,,,,,,,
Chennai Citi Centre Holdings Private Limited, Real Estate Development Long Term Bank Loan CRISIL D,Proposed Long-Term Bank Facility CRISIL D,,,,,,,,,,,,,
Chennai Engineering Coating Company Private Limited, Chemicals Cash Credit Limit #,Long Term Bank Loan #,Chennai Kraft Paper Industries Containers & Packaging Cash Credit Limit #,Term Loan Facilities #,Proposed Long-Term Bank Facility #,Letter of Credit Limit #,,,,,,,,,
Chennai Micro Print Private Limited, Commercial Services & Supplies Long Term Bank Loan #,Proposed Long-Term Bank Facility #,Cash Credit Limit #,,,,,,,,,,,,
Chennai Petroleum Corporation Limited, Oil Gas & Consumable Fuels Non Convertible Debenture CRISIL AAA Stable,Term Loan Facilities CRISIL AAA Stable,Cash Credit Limit CRISIL AAA Stable,Packing Credit CRISIL AAA Stable,Short-Term Bank Facility CRISIL A1+,Short Term Debt CRISIL A1+,Letter of Credit and Bank Guarantee CRISIL A1+,,,,,,,,
Chennai Radha Engineering Works Private Limited, Machinery Fund & Non Fund Based Limits CRISIL BBB+ Positive,Over Draft CRISIL BBB+ Positive,Cash Credit Limit CRISIL BBB+ Positive,Bank Guarantee limit CRISIL A2,,,,,,,,,,,
Chenniappa Yarn Spinners Private Limited, Textiles- Apparel & Luxury Goods Long Term Bank Loan #,Cash Credit Limit #,Cheran Hardwares Distributors Cash Credit Limit CRISIL B- Stable,,,,,,,,,,,,
Cheran Spinner Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Foreign Bill Discounting Limit CRISIL BB Stable,Term Loan Facilities CRISIL BB Stable,Letter of Credit Limit CRISIL A4+,,,,,,,,,,
Cheran Spinning Mills Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL A- Stable,Term Loan Facilities CRISIL A- Stable,Proposed Long-Term Bank Facility CRISIL A- Stable,,,,,,,,,,,,
Cherish Agro Impex Private Limited, Distributors Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Packing Credit CRISIL B+ Stable,Cherukattu Industries Food Products Foreign Demand Bill Purchase CRISIL A4+,Proposed Short Term Bank Facility CRISIL A4+,Packing Credits CRISIL A4+,,,,,,,,,
Chetak Autoengineering Products Company Private Limited, Machinery Term Loan Facilities CRISIL BB- Stable,Proposed Term Loan CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,
Chetak Enterprises Limited, Transportation Infrastructure Over Draft #,Foreign Currency Term Loan #,Long Term Bank Loan #,Bank Guarantee limit #,,,,,,,,,,,
Chetak Lifespace Private Limited, Real Estate Development Term Loan Facilities #,,,,,,,,,,,,,,
Chetan Alloys Private Limited, Distributors Cash Credit Limit #,,,,,,,,,,,,,,
Chetan Cabletronics Private Limited, Industrial Conglomerates Proposed Long-Term Bank Facility #,Rupee Term Loans #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,
Chetan Industries Limited, Machinery Cash Credit Limit CRISIL BB+ Stable,,,,,,,,,,,,,,
Chetan Motors (Division of Ghatge Patil Transports Limited,) Specialty Retail Cash Credit Limit #,,,,,,,,,,,,,,
Chetan Overseas Delhi Private Limited, Distributors Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,,
Chetmani Ornaments Private Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL BB- Stable,,,,,,,,,,,,,,
Cheviot Co Limited, Engineering & Capital Goods Term Loan Facilities CRISIL A+ Stable,Cash Credit Limit CRISIL A+ Stable,Proposed Short Term Bank Facility CRISIL A1+,Letter of Credit and Bank Guarantee CRISIL A1+,,,,,,,,,,,
Chhabeela Energy Foods Private Limited, Food Products Long Term Bank Loan CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Warehouse Receipts CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,,,,,,,,,,,
Chhabra Ispat Private Limited, Metals & Mining Term Loan Facilities #,Cash Credit Limit #,Letter of Credit Limit #,,,,,,,,,,,,
Chhabra Syncotex Private Limited, Textiles- Apparel & Luxury Goods Proposed Term Loan # Stable,Long Term Bank Loan #,Cash Credit Limit # Stable,,,,,,,,,,,,
Chhajed Foods Private Limited, Food Products Proposed Term Loan CRISIL BB Stable,Proposed Long-Term Bank Facility CRISIL BB Stable,Term Loan Facilities CRISIL BB Stable,Cash Credit Limit CRISIL BB Stable,Inland/Import Letter of Credit CRISIL A4+,Bank Guarantee limit CRISIL A4+,,,,,,,,,
Chhatrapati Agro Food Manufacturing Company Limited, Food Products Cash Credit Limit #,Term Loan Facilities #,Proposed Long-Term Bank Facility #,Chhattisgarh Hydro Power LLP Independent Power Producers & Energy Traders Term Loan Facilities CRISIL BB- Stable,,,,,,,,,,,
Chhattisgarh Power and Coal Benefication Limited, Oil Gas & Consumable Fuels Cash Credit Limit CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,,,
Chhattisgarh Steel AND Power Limited, Independent Power Producers & Energy Traders Cash Credit Limit #,Long Term Bank Loan #,Proposed Long-Term Bank Facility #,Bank Guarantee limit #,Chhattisgarh Steel Products Metals & Mining Cash Credit Limit #,Proposed Long-Term Bank Facility #,Term Loan Facilities #,Chhavan Engineering Works Distributors Proposed Long-Term Bank Facility CRISIL B Stable,Overdraft Facility CRISIL A4,Chhaya Gems Textiles- Apparel & Luxury Goods Post Shipment Credit #,Packing Credits #,,,,
Chhotanagpur Ispat Private Limited, Distributors Cash Credit Limit CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,,,,
Chhotanagpur Rope Works Private Limited, Machinery Cash Credit Limit CRISIL BB+ Stable,Stand by Letter of Credit CRISIL BB+ Stable,Proposed Fund-Based Bank Limits CRISIL BB+ Stable,Proposed Short Term Bank Facility CRISIL A4+,Letter of Credit Limit CRISIL A4+,Chhotey Lal and Sons Jewellers Textiles- Apparel & Luxury Goods Cash Credit Limit #,,,,,,,,,
Chicago Constructions International Private Limited, Construction & Engineering Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,Chikitsabrati Udyog Health Care Providers & Services Term Loan Facilities #,Proposed Long-Term Bank Facility #,Bank Guarantee limit #,Children Education Society Diversified Consumer Services Cash Credit Limit #,Chillamcherla Agrotech Private limited Food Products Cash Credit Limit #,Long Term Bank Loan #,,,,,,,
Chillies Export House Limited, Food Products Cash Credit Limit #,Proposed Long-Term Bank Facility #,Export Packing Credit limits #,Foreign Bill Negotiation #,,,,,,,,,,,
Chimanlal Fein Paper Private Limited, Distributors Letter of Credit and Bank Guarantees #,Cash Credit Limit #,,,,,,,,,,,,,
Chinar Syntex Limited, Textiles- Apparel & Luxury Goods Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,,,,,,,,,,,,,
Chiniwalas Private Limited, Building Products Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,Chinmay Construction Construction & Engineering Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,Chinsurah Cold Storage - Prop Bansidhar Agarwalla AND Company Pvt Ltd Commercial Services & Supplies Cash Credit Limit CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,Working Capital Loan (LT) CRISIL B+ Stable,Chintamani Commodities Metals & Mining Cash Credit Limit #,Bank Guarantee limit #,,,,
Chintamani Jewellers India Private Limited, Engineering & Capital Goods Cash Credit Limit #,Proposed Long-Term Bank Facility #,Chintamani Sharma & Sons Electrical Equipment Cash Credit Limit #,Letter of Credit Limit #,Bank Guarantee limit #,,,,,,,,,,
Chintamanis Jewellery Arcade Private Limited, Textiles- Apparel & Luxury Goods Over Draft #,Proposed Long-Term Bank Facility #,Chintawar Agro Industries Textiles- Apparel & Luxury Goods Term Loan Facilities #,Cash Credit Limit #,Chintels Education Society Diversified Consumer Services Proposed Long-Term Bank Facility CRISIL B+ Stable,,,,,,,,,,
Chintels India Limited, Real Estate Development Term Loan Facilities #,Chintpurni School Educational Society Diversified Consumer Services Rupee Term Loans #,Proposed Long-Term Bank Facility #,Bank Guarantee limit #,Chirackal Agro Mills Food Products Cash Credit Limit CRISIL BB- Stable,Proposed Working Capital Facility CRISIL BB- Stable,Packing Credits CRISIL A4+,Chirackal Food Products Food Products Cash Credit Limit CRISIL BB- Stable,Chirackal Roller Flour Mills Food Products Long Term Bank Loan CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Proposed Working Capital Facility CRISIL B+ Stable,Chirag Developers Real Estate Development Cash Credit Limit CRISIL B+ Stable,,,
Chirag Goel Enterprises Private Limited, Trading Companies & Distributors Cash Credit Limit CRISIL B Stable,Letter of Credit and Bank Guarantee CRISIL A4,,,,,,,,,,,,,
Chirag Infraprojects Private Limited, Construction & Engineering Cash Credit Limit #,Bank Guarantee limit #,Chirag Rice & Pulse Mill Food Products Term Loan Facilities CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Cash Credit Limit CRISIL B Stable,,,,,,,,,,
Chiraj Stock and Securities Private Limited, Construction & Engineering Cash Credit Limit #,Letter of Credit Limit #,Bank Guarantee limit #,Chirakekaren Glass House Private limited Distributors Cash Credit Limit CRISIL B- Stable,Long Term Bank Loan CRISIL B- Stable,,,,,,,,,,
Chiral Biosciences Limited, Pharmaceuticals Proposed Term Loan #,Proposed Cash Credit Limit #,Cash Credit Limit #,Term Loan Facilities #,Letter of Credit Limit #,Proposed Letter of Credit #,Chiranji Lal Atma Ram Trading Companies & Distributors Warehouse Financing CRISIL B Stable,Proposed Long-Term Bank Facility CRISIL B Stable,Cash Credit Limit CRISIL B Stable,,,,,,
Chiranjilal Rayons Private Limited, Textiles- Apparel & Luxury Goods Rupee Term Loans CRISIL BB- Stable,Cash Credit Limit CRISIL BB- Stable,Proposed Long-Term Bank Facility CRISIL BB- Stable,Bank Guarantee limit CRISIL A4+,Chirayu Charitable Foundation Diversified Consumer Services Term Loan Facilities #,Bank Guarantee limit #,,,,,,,,,
Chiripal Poly Films Limited, Containers & Packaging Cash Credit Limit #,Term Loan Facilities #,Inland/Import Letter of Credit #,Buyers Finance #,,,,,,,,,,,
Chitiz Metals AND Minerals Trading Private Limited, Oil Gas & Consumable Fuels Cash Credit Limit #,Proposed Long-Term Bank Facility #,,,,,,,,,,,,,
Chitra Utsav Video Private Limited, Industrial Conglomerates Lease Rental Discounting Loan CRISIL B- Stable,,,,,,,,,,,,,,
Chittorgarh Kota Tollway Private Limited, Transportation Infrastructure Proposed Short Term Bank Facility CRISIL A1,Bank Guarantee limit CRISIL A1,,,,,,,,,,,,,
Chocolate Hotels Private Limited, Hotels Restaurants & Leisure Term Loan Facilities #,Proposed Long-Term Bank Facility #,Proposed Short Term Bank Facility #,,,,,,,,,,,,
Choice Boards Private Limited, Distributors Proposed Long-Term Bank Facility CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Inland/Import Letter of Credit CRISIL A4,Choice Cashew Industries Food Products Export Packing Credit CRISIL BBB Stable,Standby Line Of Credit CRISIL A3+,Export Packing Credit limits CRISIL A3+,Letter of Credit Limit CRISIL A3+,Proposed Short Term Bank Facility CRISIL A3+,Choice Diamond Engineering & Capital Goods Proposed Long-Term Bank Facility CRISIL BBB Stable,Export Packing Credit CRISIL BBB Stable,Post Shipment Credits CRISIL BBB Stable,Pre Shipment Credit CRISIL A3+,Choice Electricals Distributors Term Loan Facilities #,Cash Credit Limit #,Bank Guarantee limit #
Choice Precitech India Private Limited, Auto Components Stand by Line of Credit CRISIL D,Working Capital Demand Loan CRISIL D,Cash Credit Limit CRISIL D,Long Term Bank Loan CRISIL D,Letter of Credit Limit CRISIL D,Bank Guarantee limit CRISIL D,Choice Research and Breeding Farm Food Products Cash Credit Limit CRISIL BB- Stable,Long Term Bank Loan CRISIL BB- Stable,,,,,,,
Choice Trading Corporation Private Limited, Food Products Foreign Bill Discounting Limit CRISIL BBB- Stable,Term Loan Facilities CRISIL BBB- Stable,Stand by Letter of Credit CRISIL BBB- Stable,Export Packing Credit CRISIL BBB- Stable,Proposed Long-Term Bank Facility CRISIL BBB- Stable,Standby Export Packing Credit CRISIL A3,Bank Guarantee limit CRISIL A3,Letter of Credit Limit CRISIL A3,,,,,,,
Choksey Chemicals Private Limited, Chemicals Cash Credit Limit CRISIL B- Stable,Letter of Credit Limit CRISIL A4,Bank Guarantee limit CRISIL A4,,,,,,,,,,,,
