C A V Cotton Mills Private Limited, Textiles- Apparel & Luxury Goods Proposed Long-Term Bank Facility #,Cash Credit Limit #,Long Term Bank Loan #,,,,,,,,,,,,
C.P.& Associates Private Limited, Construction & Engineering Cash Credit Limit #,Long Term Bank Loan #,Bank Guarantee limit #,C.R.Garments Engineering & Capital Goods Term Loan Facilities CRISIL BBB- Stable,Cash Credit Limit CRISIL BBB- Stable,Foreign Documentary Bills Purchase CRISIL A3,,,,,,,,,
C.R.I. Pumps Private Limited, Machinery Cash Credit Limit CRISIL A Stable,Proposed Long-Term Bank Facility CRISIL A Stable,Long Term Bank Loan CRISIL A Stable,Short Term Unsecured Loan CRISIL A1,Bank Guarantee limit CRISIL A1,Commercial Paper CRISIL A1,Letter of Credit Limit CRISIL A1,,,,,,,,
C.S. Construction Company Private Limited, Construction & Engineering Bank Guarantee limit CRISIL A3,Proposed Bank Guarantee CRISIL A3,C.S.Construction Construction & Engineering Cash Credit Limit CRISIL BB Stable,Bank Guarantee limit CRISIL A4+,C.Swaminatha Mudaliar Sons and Co. Household Durables Long Term Bank Loan #,Bill Purchase-Discounting Facility #,Packing Credits #,CAVIER BATHFITTINGS LTD. Building Products Cash Credit Limit CRISIL B+ Stable,Proposed Long-Term Bank Facility CRISIL B+ Stable,,,,,,
CB Agros And Shopping Malls Private Limited, Specialty Retail Cash Credit Limit CRISIL BBB- Positive,Proposed Long-Term Bank Facility CRISIL BBB- Positive,,,,,,,,,,,,,
CBM Industrie Limited, Construction & Engineering Cash Credit Limit CRISIL BB- Stable,Letter of Credit and Bank Guarantee CRISIL A4+,,,,,,,,,,,,,
CBS Publishers and Distributors Private Limited, Media Cash Credit Limit CRISIL BB Stable,,,,,,,,,,,,,,
CBS Technologies Private Limited, Machinery Proposed Long-Term Bank Facility CRISIL B+ Stable,Term Loan Facilities CRISIL B+ Stable,Cash Credit Limit CRISIL B+ Stable,Bank Guarantee limit CRISIL A4,,,,,,,,,,,
CCI Logistics Limited, Road & Rail Cash Credit Limit CRISIL BBB Stable,Bank Guarantee limit CRISIL A3+,,,,,,,,,,,,,
CCR Logistics Private Limited, Road & Rail Cash Credit Limit CRISIL BB Stable,,,,,,,,,,,,,,
CCS Computers Private Limited, Computers & Peripherals Proposed Long-Term Bank Facility CRISIL BB+ Stable,Cash Credit Limit CRISIL BB+ Stable,Bank Guarantee limit CRISIL A4+,,,,,,,,,,,,
CCS Infotech Limited, Computers & Peripherals Proposed Long-Term Bank Facility NM,Letter of Credit (LC) NM,Cash Credit Limit NM,Working Capital Term Loan NM,Bank Guarantee limit NM,,,,,,,,,,
