U01403AP2015PTC097275,,PRANAVOMS AGRI SERVICES INDIA PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Agriculture and Allied Activities,28-302 BOYA VEEDHI   ANANTAPUR Andhra Pradesh INDIA 515001
U02005AP2015PTC097277,,ANDHRA TREES PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Agriculture and Allied Activities,THEMIDITHAPADU SWARNA   PRAKASAM Andhra Pradesh INDIA 523170
U15549AP2015PTC097274,,SHABARI SURYA NANDANA UNIVERSAL FOOD PRODUCTS PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Manufacturing (Food stuffs),"D.NO.55-1-6 100 FEET ROAD, AUTO NAGAR   VIJAYAWADA Andhra Pradesh INDIA 520007"
U31908AP2015PTC097282,,LIGERO LED PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Manufacturing (Machinery & Equipments),"46-18-23, MANDAVARIPETA, DONDAPARTHY,     VISAKHAPATNAM Andhra Pradesh INDIA 530016"
U45200AP2015PTC097269,,MSR ICON PROJECTS PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"D.No.58-21-20, Sitaramaraju Nagar Colony Butchirajupalem   Visakhapatnam Andhra Pradesh INDIA 530027"
U45206AP2015PTC097280,,TIRUMANAR DEVELOPERS PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"D.No: 5/492 Chitvel Road, Railwaykoduru   Kadapa Andhra Pradesh INDIA 516101"
U45400AP2015PTC097283,,ANNEX URBAN VENTURES PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"D.No.47-11-25, DWARAKANAGAR, 1st LANE     VISAKHAPATNAM Andhra Pradesh INDIA 530016"
U52100AP2015PTC097278,,ARCHER INTERNATIONAL PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Trading,"27-1-1253 NEAR LAKSHMI KANTHAMMA ASHRAMAM, BALAJI NAGAR   NELLORE Andhra Pradesh INDIA 524002"
U72200AP2015PTC097281,,VISHNU GLOBAL SERVICES PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"MIG-1, 67, ABHP Colony,   Bhimavaram Andhra Pradesh INDIA 534201"
U72200AP2015PTC097271,,SAILESH INFORMATION TECHNOLOGY PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"D.NO: 70-2-17, KRISHNA TOWERS, DONKA ROAD PATAMATA   VIJAYAWADA Andhra Pradesh INDIA 520007"
U73100AP2015PTC097276,,QUE ENGINEERING SERVICES PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,"Community, personal & Social Services","H no 40-1-93, Kanna Nagar, Benz Circle   Vijayawada Andhra Pradesh INDIA 521121"
U74900AP2015PTC097272,,VENKATA RAMANA CHANDRA AGRO'S PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,5000000,200000,0,Business Services,"D NO.9-2, KATTAMURU   PEDDAPURAM Andhra Pradesh INDIA 533437"
U92412AP2015PTC097279,,RAUKS DIGITAL NETWORK PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,"Community, personal & Social Services","38-30-5/3,Ground Floor, Sai Nagar Kasivisweswara Margam, Marripalem   Vishakhapatnam Andhra Pradesh INDIA 530018"
U52300AP2015PTC097273,*,SAHASRA VENTURES PRIVATE LIMITED,9/2/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,1000000,0,Trading,"8-4-18/5 Doctor's colony, Prasanthi Nagar, Peda waltair   Visakhapatnam Andhra Pradesh INDIA 530017"
U22222AP2015PTC097291,,SARIYA PUBLICATIONS & MEDIA PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","SBI-65, Sector-7 M.V.P. Colony   Visakhapatnam Andhra Pradesh INDIA 530017"
U45206AP2015PTC097289,,FLOTON (INDIA) INDUSTRIES PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Construction,"D. No. 7-17-43, 5th Line, Srinagar,   Guntur Andhra Pradesh INDIA 522002"
U45208AP2015PTC097284,,AMARAVATHI ENGINEERS AND CONTRACTORS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,3000000,3000000,0,Construction,"D.NO:1-15-4, FLAT NO.102, DUKKIPATI ENCLAVE SVN COLONY 4th LINE,   GUNTUR Andhra Pradesh INDIA 522007"
U45208AP2015PTC097294,,SPR COMMERCIAL MALLS & MARKETS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"H.NO. 4-205-1, PLOT NO. 785 & 786 SILPA SINGAPOOR TOWNSHIP, DINNEDEVARAPADU,   KURNOOL Andhra Pradesh INDIA 518001"
U45400AP2015PTC097292,,VSD SUPPLIERS & CONSTRUCTIONS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,1000000,0,Construction,"D.No. 3-51, Prakruthivanipalem Anandapuram, Tarluwada   Visakhapatnam Andhra Pradesh INDIA 531163"
U45400AP2015PTC097293,,SIRI EDIFICE PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"D.No.50-49-33/1 T.P.T.Colony, Seethammadhara   Visakhapatnam Andhra Pradesh INDIA 530013"
U51900AP2015PTC097295,,AA-HAH IMPORTS AND EXPORTS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,500000,500000,0,Trading,"H.No-5-16-33,VIKAS NAGAR 3/2,PATTABHIPURAM   GUNTUR Andhra Pradesh INDIA 522006"
U72200AP2015PTC097286,,EA LABS INDIA PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,10000000,5000000,0,Business Services,"D.NO:5-96-2, IInd Floor Besides CRDA office, 6/12   Brodipet Andhra Pradesh INDIA 522002"
U72400AP2015PTC097285,,TECHTHRONE IT SOLUTIONS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"H. No: 16-125, Ramakrishna Colony, Mylavaram Mandal   Krishna District Andhra Pradesh INDIA 521230"
U74120AP2015PTC097290,,INDO GLOBAL IMPORTS AND EXPORTS PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"18-970, 1st floor, Prakasam High R Chittoor   Chittoor Andhra Pradesh INDIA 517001"
U72200AP2015PTC097288,*,TRUE VALUE E COMMERCE PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"H.No. 1-17/1-6, Venkateswara Nilayam, Kotha Duppada   Vizianagaram Andhra Pradesh INDIA 535003"
U74200AP2015PTC097287,*,KRISH FOOD AND FUN (INDIA) PRIVATE LIMITED,9/3/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Business Services,Door No:19-1-32/4 Abbannareddy Street Main Road   Ramachandrapuram Andhra Pradesh INDIA 533255
U45400AP2015PTC097312,,JALAUPAKARNAYANTRA TECHNICAL TECHNOLOGIES PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,1000000,100000,0,Construction,D.NO 73-14-3/1 SREENIVASA GARDENS   RAJAHMUNDRY Andhra Pradesh INDIA 533103
U51101AP2015PTC097309,,AMARAVATHI TRADING PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Trading,"H.NO.9-93, VEERA REDDY PALLI VILLAGE, SIRIVELLA MANDAL, ALLAGADDA TALUK, KURNOOL DIST.,   KURNOOL Andhra Pradesh INDIA 518573"
U51909AP2015PTC097308,,TRADE LOUNGE ENGINEERING EXIM PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,200000,100000,0,Trading,"F No 5, The Verandas Apartment  1/3 Lane Navabharat Nagar   Guntur Andhra Pradesh INDIA 522007"
U52398AP2015PTC097296,,COMIC PLANET PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Trading,"57-10-14A, VENKAT RESIDENCY G.F-104 P & T COLONY, TEACHERS COLONY   VIJAYAWADA Andhra Pradesh INDIA 520010"
U55101AP2015PTC097306,,LARGO SOLITAIRE RESTAURANTS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,900000,500000,0,Trading,"D NO:5-25-37/38, F.NO.-301, RAJYAL 3/7TH LANE, BRODIPET   GUNTUR Andhra Pradesh INDIA 522002"
U72200AP2015PTC097298,,NPRIME IT SERVICES INDIA PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"D No- 55-6-7/2/2, Flat No- 103, Varaha Narasimha Enclave- IV, Sri Sivasankari Nagar   Vishakhapatnam Andhra Pradesh INDIA 530022"
U72300AP2015PTC097297,,SPORTSBOOK IT SOLUTIONS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"3/231, One Town,     Kurnool Andhra Pradesh INDIA 518001"
U72300AP2015PTC097300,,MYTHEATER SMART APP SOLUTIONS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"Flat No. 504, Yaganti Towers - Gem, 7th Line, Brindavan Gardens,   Guntur Andhra Pradesh INDIA 522006"
U72300AP2015PTC097302,,NOW V CONNECT CONSULTING INDIA PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"58-14-109/2, LEADER COMPOUND, MARRIPALEM     VISAKHAPATNAM Andhra Pradesh INDIA 530009"
U72300AP2015PTC097307,,RPLUS ANALYTICS SOLUTIONS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"# 6-1-388-19, LAKSHMI NAGAR,   ANANTAPUR Andhra Pradesh INDIA 515001"
U74120AP2015PTC097303,,SIMHAPURI SAND SOLUTIONS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"H NO.6-421a, Kandukuru road, 4th lane, Singarayakonda   Prakasam Andhra Pradesh INDIA 523101"
U74120AP2015PTC097310,,JOEL RISHI CONTRACTS & SERVICES PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Business Services,"DOOR NO: 24-78-15 , HIG 23, B/H POST OFFICE SAMATHA NAGAR , PEDAGANTYADA   VISAKHAPATANAM Andhra Pradesh INDIA 530044"
U74120AP2015PTC097311,,SUNRISE AUXILIARY PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,500000,100000,0,Business Services,"D NO 4-46-9/1,MAIN ROAD PEDA WALTAIR JUNCTION   VISAKHAPATNAM Andhra Pradesh INDIA 530003"
U74900AP2015PTC097299,,AKG FASHION GALLERY PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,500000,100000,0,Business Services,"H.No.44-19-1-1-S, Netaji Nagar Sunkesula Road,   Kurnool Andhra Pradesh INDIA 518004"
U01403AP2015PTC097305,*,NADENDLA AGRO PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Agriculture and Allied Activities,"2-53, KAMBALA MITTA, K.ODDE PALLI PAKALA CHITTOOR   TIRUPATHI Andhra Pradesh INDIA 517126"
U45400AP2015PTC097304,*,KRN CONSTRUCTIONS PRIVATE LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Construction,"25-1-1022, 7TH STREET, NETHAJI NAGAR, PODALAKUR ROAD   NELLORE Andhra Pradesh INDIA 524004"
U01403AP2015PTC097301,*,SRI SAMPADA FISHERIES PRODUCER COMPANY LIMITED,9/4/15,Andhra Pradesh,RoC-Hyderabad,Company limited by shares,Indian Non-Government Company,Private,100000,100000,0,Agriculture and Allied Activities,"C/o. D.J. WESLEY, D.NO. 30-36/21A KM COLONY, MALAKAPATNAM,   MACHILIPATNAM Andhra Pradesh INDIA 521001"
